ddg.type	ddg.num	ddg.name	ddg.value	ddg.return.linked	ddg.auto.created	ddg.time	ddg.snum	ddg.lnum
Operation	31	x$sex2[x$sex == "1"] <- "Female"	x$sex2[x$sex == "1"] <- "Female"	FALSE	FALSE	78.702	0	59
Operation	32	x$Income <- (x$income) * 1e+05	x$Income <- (x$income) * 1e+05	FALSE	FALSE	78.746	0	60
Finish	33	test3	test3	FALSE	FALSE	78.787	0	61
Start	34	ddg.chunk_4	ddg.chunk_4	FALSE	FALSE	78.79	0	63
Operation	35	histogram(~Income, data = x)	histogram(~Income, data = x)	FALSE	FALSE	78.799	0	64
Finish	36	ddg.chunk_4	ddg.chunk_4	FALSE	FALSE	78.821	0	65
Start	37	ddg.chunk_5	ddg.chunk_5	FALSE	FALSE	78.823	0	72
Operation	38	bwplot(Age ~ Income, data = x, ylab = "Age groups (of five y	bwplot(Age ~ Income, data = x, ylab = "Age groups (of five y	FALSE	FALSE	78.832	0	73
Operation	39	lmage <- lm(sqrt(income) ~ poly(age, 2, raw = T), data = x)	lmage <- lm(sqrt(income) ~ poly(age, 2, raw = T), data = x)	FALSE	FALSE	78.867	0	74
Operation	40	plot(x$age * 100, sqrt(x$income), xlab = "Age", ylab = "Sqrt	plot(x$age * 100, sqrt(x$income), xlab = "Age", ylab = "Sqrt	FALSE	FALSE	79.174	0	76
Operation	41	lines(x$age * 100, predict(lmage))	lines(x$age * 100, predict(lmage))	FALSE	FALSE	79.203	0	77
Finish	42	ddg.chunk_5	ddg.chunk_5	FALSE	FALSE	79.236	0	78
Start	43	ddg.chunk_6	ddg.chunk_6	FALSE	FALSE	79.238	0	84
Operation	44	x$Age2 <- x$Age^2	x$Age2 <- x$Age^2	FALSE	FALSE	79.24	0	85
Operation	45	Quadratic <- lm(Income ~ Age + Age2, data = x)	Quadratic <- lm(Income ~ Age + Age2, data = x)	FALSE	FALSE	79.528	0	86
Finish	46	ddg.chunk_6	ddg.chunk_6	FALSE	FALSE	79.687	0	87
Start	47	ddg.chunk_7	ddg.chunk_7	FALSE	FALSE	79.69	0	89
Operation	48	summary(Quadratic)	summary(Quadratic)	FALSE	FALSE	79.692	0	90
Finish	49	ddg.chunk_7	ddg.chunk_7	FALSE	FALSE	79.708	0	91
Start	50	ddg.chunk_8	ddg.chunk_8	FALSE	FALSE	79.709	0	96
Operation	51	x$illnessbin <- 1	x$illnessbin <- 1	FALSE	FALSE	79.711	0	98
Operation	52	x$illnessbin[x$illness == 0] <- 0	x$illnessbin[x$illness == 0] <- 0	FALSE	FALSE	79.743	0	99
Operation	53	glmill <- glm(illnessbin ~ income + sex + age + chcond, data	glmill <- glm(illnessbin ~ income + sex + age + chcond, data	FALSE	FALSE	79.8	0	102
Operation	54	summary(glmill)	summary(glmill)	FALSE	FALSE	80.273	0	103
Operation	55	x$logitillness <- predict(glmill)	x$logitillness <- predict(glmill)	FALSE	FALSE	80.287	0	107
Operation	56	x$probabilityillness <- exp(x$logitillness)/(1 + exp(x$logit	x$probabilityillness <- exp(x$logitillness)/(1 + exp(x$logit	FALSE	FALSE	80.342	0	109
Operation	57	xyplot(probabilityillness ~ income * 10000, groups = chcond,	xyplot(probabilityillness ~ income * 10000, groups = chcond,	FALSE	FALSE	80.397	0	111
Finish	58	ddg.chunk_8	ddg.chunk_8	FALSE	FALSE	80.432	0	112
Finish	59	./RMarkdownTest_ddg/RMarkdownTest.R	./RMarkdownTest_ddg/RMarkdownTest.R	FALSE	FALSE	80.433	0	NA
